Herb_	Herb_pinyin_name	Herb_cn_name	Herb_en_name	Herb_latin_name	Properties	Meridians	UsePart	Function	Indication	Toxicity	Clinical_manifestations	Therapeutic_en_class	Therapeutic_cn_class	TCMID_id	TCM_ID_id	SymMap_id	TCMSP_id
HERB000001	A BI XI NI YA CI TONG	阿比西尼亚刺桐	Abyssinia Coralbean	Erythrina abyssinica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6286	NA	NA
HERB000002	A BI XI NI YA NIU JIN GUO	阿比西尼亚牛筋果	Abyssinia Harrisonia	Harrisonia abyssinica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4984	NA	NA
HERB000003	A ER JI ER DA CHI JI	阿尔及利亚棉蓟	Algerian Cottonthistle	Onopordum algeriense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2229	NA	NA
HERB000004	A ER JI LI YA BU XUE CAO	阿尔及利亚补血草	Algerian Statice	Limonium bonduellii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2187	NA	NA
HERB000005	A ER JI LI YA YUAN WEI	阿尔及利亚鸢尾	Algerian Iris	Iris unguicularis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5086	NA	NA
HERB000006	A ER TAI YIN LIAN HUA	阿尔泰银莲花	Altai Anemone	Anemone altaica	NA	NA	rhizome	To transform phlegm and open orifices, quiet spirit, diffuse damp and arouse spleen, resolve toxin.	Febrile diseases clouded spirit, epilepsy, qi -block deafness, heavy dreams and amnesia, oppression in chest and abdomen distention, inappetence, wind-damp impediment pain, welling abscess and flat abscess, scab and lichen.	NA	NA	NA	NA	NA	3337	NA	NA
HERB000007	A ER TAI ZI WAN	阿尔泰紫菀	Altai Heteropappus	Heteropappus altaicus	NA	NA	whole herb	To clear heat and downbear fire, expel pus and relieve cough.	Febrile diseases, liver gallbladder effulgent fire, pulmonary welling abscess, hacking of pus blood, cystitis, zoster, sore and boil.	NA	NA	NA	NA	NA	8058	NA	NA
HERB000008	A FU HAN DING XIANG	阿富汗丁香	Afghanistan Lilac	Syringa afghanica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7658	NA	NA
HERB000009	A FU HAN DU JUAN HUA	阿富汗杜鹃花	HCollett’s Rhododendron	Rhododendron collettianum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5047	NA	NA
HERB000010	A FU HAN TANG JIE	阿富汗黑麦草	Afghanistan Erysimum	Erysimum perofskianum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6978	NA	NA
HERB000011	A FU ZE ER MA QIAN ZI	阿福泽尔马钱子	Afzel Poisonnut	Strychnos afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1525	NA	NA
HERB000012	A FU ZE LI SHAN ZHU ZI	NA	Afzeli Garcinia	Garcinia afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5917	NA	NA
HERB000013	A GEN TING SHANG LU	NA	Ombutree Pokeberry	Phytolacca dioica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1103	NA	NA
HERB000014	A GEN TING SHU QU CAO	阿根廷鼠曲草	Argentine Cudweed	Gnaphalium gaudichaudianum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4379	NA	NA
HERB000015	A GU JI TIAN JIE CAI	NA	Arguzioid Heliotrope	Heliotropium arguzioides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5451	NA	NA
HERB000016	A JIANG LAN REN	阿江榄仁	NA	Terminalia arjuna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7123	NA	NA
HERB000017	A KA XI A LAN REN	NA	Acacia Terminalia	Terminalia stuhlmannii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3753	NA	NA
HERB000018	A LA BO JIAO JIN HE HUAN	阿拉伯胶金合欢	Gum-arabic Tree	Acacia nilotica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1316	NA	NA
HERB000019	A LA BO JIN HE HUAN	阿拉伯金合欢	Arabian Acacia	Acacia arabica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5352	NA	NA
HERB000020	A LA BO PO PO NA	阿拉伯婆婆纳	Iran Speedwell	Veronica persica	NA	NA	whole herb	To dispel wind and eliminate damp, strengthen lumbus, interrupt malaria.	Wind-damp impediment pain, kidney vacuity lumbago, enduring malaria.	NA	NA	NA	NA	NA	7039	NA	NA
HERB000021	A LI HONG	阿里红	Fomes Officinalis Sporocarp	Fomes officinalis	NA	NA	sporocarp	To relieve cough and calm asthma, dispel wind and eliminate damp, disperse swelling and relieve pain, disinhibit urine, resolve snake toxin.	Cough, asthma, chronic rheumatic arthritis, swelling pain in throat, stomachache, urethral stone, periodontitis, edema, poisonous snake bite.	NA	NA	NA	NA	NA	5602	NA	NA
HERB000022	A LI SHAN WU WEI ZI	阿里山五味子	Taiwan Magnoliavine	Schisandra arisanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3297	NA	NA
HERB000023	A LU HA LIANG JIANG	NA	Allugha Galangal	Alpinia allughas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2536	NA	NA
HERB000024	A LUN DUO QIE	NA	Arundo Nightshade	Solanum arundo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7494	NA	NA
HERB000025	A MAN SU DAN MO YAO	阿曼苏丹没药	Sultanate-Oman Myrrhtree	Commiphora wightii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5281	NA	NA
HERB000026	A NUO TI HUA JIAO	阿诺特花椒	Arnotti Pricklyash	Zanthoxylum arnottianum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4170	NA	NA
HERB000027	A SHI HAO	NA	Ashurbajev Wormwood	Artemisia ashurbajevii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2649	NA	NA
HERB000028	A SU JUE MING	NA	Absus Senna	Cassia absus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1793	NA	NA
HERB000029	A WEI	阿魏	Asafetida Giantfennel Resin	Ferula assafoetida	Warm; Pungent; Bitter	Spleen; Stomach; Liver	balsam	To transform concretion and disperse accumulation, kill worms, interrupt malaria.	Concretion and conglomeration, lump glomus, worm accumulation, meat-type food accumulation, cold pain in heart and abdomen, malaria, dysentery.	NA	NA	Food digestion	消食	NA	4866	NA	1
HERB000030	A YA PAN ZE LAN	NA	Ayapana Eupatorium	Eupatorium ayapana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4709	NA	NA
